Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1_24Hrs	Peptides 1_24Hrs_virus	Peptides 1_2Hrs	Peptides 1_2Hrs_virus	Peptides 2_24Hrs	Peptides 2_24Hrs_virus	Peptides 2_2Hrs	Peptides 2_2Hrs_virus	Peptides 3_24Hrs	Peptides 3_24Hrs_virus	Peptides 3_2Hrs	Peptides 3_2Hrs_virus	Razor + unique peptides 1_24Hrs	Razor + unique peptides 1_24Hrs_virus	Razor + unique peptides 1_2Hrs	Razor + unique peptides 1_2Hrs_virus	Razor + unique peptides 2_24Hrs	Razor + unique peptides 2_24Hrs_virus	Razor + unique peptides 2_2Hrs	Razor + unique peptides 2_2Hrs_virus	Razor + unique peptides 3_24Hrs	Razor + unique peptides 3_24Hrs_virus	Razor + unique peptides 3_2Hrs	Razor + unique peptides 3_2Hrs_virus	Unique peptides 1_24Hrs	Unique peptides 1_24Hrs_virus	Unique peptides 1_2Hrs	Unique peptides 1_2Hrs_virus	Unique peptides 2_24Hrs	Unique peptides 2_24Hrs_virus	Unique peptides 2_2Hrs	Unique peptides 2_2Hrs_virus	Unique peptides 3_24Hrs	Unique peptides 3_24Hrs_virus	Unique peptides 3_2Hrs	Unique peptides 3_2Hrs_virus	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 1_24Hrs	Identification type 1_24Hrs_virus	Identification type 1_2Hrs	Identification type 1_2Hrs_virus	Identification type 2_24Hrs	Identification type 2_24Hrs_virus	Identification type 2_2Hrs	Identification type 2_2Hrs_virus	Identification type 3_24Hrs	Identification type 3_24Hrs_virus	Identification type 3_2Hrs	Identification type 3_2Hrs_virus	Sequence coverage 1_24Hrs [%]	Sequence coverage 1_24Hrs_virus [%]	Sequence coverage 1_2Hrs [%]	Sequence coverage 1_2Hrs_virus [%]	Sequence coverage 2_24Hrs [%]	Sequence coverage 2_24Hrs_virus [%]	Sequence coverage 2_2Hrs [%]	Sequence coverage 2_2Hrs_virus [%]	Sequence coverage 3_24Hrs [%]	Sequence coverage 3_24Hrs_virus [%]	Sequence coverage 3_2Hrs [%]	Sequence coverage 3_2Hrs_virus [%]	Intensity	Intensity 1_24Hrs	Intensity 1_24Hrs_virus	Intensity 1_2Hrs	Intensity 1_2Hrs_virus	Intensity 2_24Hrs	Intensity 2_24Hrs_virus	Intensity 2_2Hrs	Intensity 2_2Hrs_virus	Intensity 3_24Hrs	Intensity 3_24Hrs_virus	Intensity 3_2Hrs	Intensity 3_2Hrs_virus	LFQ intensity 1_24Hrs	LFQ intensity 1_24Hrs_virus	LFQ intensity 1_2Hrs	LFQ intensity 1_2Hrs_virus	LFQ intensity 2_24Hrs	LFQ intensity 2_24Hrs_virus	LFQ intensity 2_2Hrs	LFQ intensity 2_2Hrs_virus	LFQ intensity 3_24Hrs	LFQ intensity 3_24Hrs_virus	LFQ intensity 3_2Hrs	LFQ intensity 3_2Hrs_virus	MS/MS count 1_24Hrs	MS/MS count 1_24Hrs_virus	MS/MS count 1_2Hrs	MS/MS count 1_2Hrs_virus	MS/MS count 2_24Hrs	MS/MS count 2_24Hrs_virus	MS/MS count 2_2Hrs	MS/MS count 2_2Hrs_virus	MS/MS count 3_24Hrs	MS/MS count 3_24Hrs_virus	MS/MS count 3_2Hrs	MS/MS count 3_2Hrs_virus	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
sp|P35606|COPB2_HUMAN;tr|H0YAC7|H0YAC7_HUMAN	sp|P35606|COPB2_HUMAN	3;1	3;1	3;1	sp|P35606|COPB2_HUMAN Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2	2	3	3	3	1	2	2	1	1	2	2	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	5.1	5.1	5.1	102.49	906	906;118	0	88.811	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.5	4	4	2.5	2.5	3.6	4	2.5	2.5	2.5	2.5	2.5	984730000	83796000	113230000	49425000	73397000	89354000	95727000	101060000	66655000	0	111610000	64085000	136390000	0	93145000	74546000	0	0	0	89779000	0	0	0	0	0	5	5	4	5	5	4	5	4	1	3	3	5	49				683	1715;3222;4199	True;True;True	1730;3267;4254	14722;14723;14724;14725;14726;14727;14728;14729;14730;14731;14732;14733;27434;27435;27436;35411	34800;34801;34802;34803;34804;34805;34806;34807;34808;34809;34810;34811;34812;34813;34814;34815;34816;34817;34818;34819;34820;34821;34822;34823;34824;34825;34826;34827;34828;34829;34830;34831;34832;34833;34834;34835;34836;34837;34838;34839;34840;34841;34842;34843;34844;63916;63917;63918;63919;81943	34809;63919;81943			-1;-1
sp|P35610|SOAT1_HUMAN;tr|B1APM4|B1APM4_HUMAN	sp|P35610|SOAT1_HUMAN;tr|B1APM4|B1APM4_HUMAN	2;1	2;1	2;1	sp|P35610|SOAT1_HUMAN Sterol O-acyltransferase 1 OS=Homo sapiens OX=9606 GN=SOAT1 PE=1 SV=3;tr|B1APM4|B1APM4_HUMAN Sterol O-acyltransferase 1 (Fragment) OS=Homo sapiens OX=9606 GN=SOAT1 PE=1 SV=1	2	2	2	2	1	1	1	2	0	2	0	1	0	0	0	0	1	1	1	2	0	2	0	1	0	0	0	0	1	1	1	2	0	2	0	1	0	0	0	0	4.5	4.5	4.5	64.734	550	550;260	0	7.7826	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By MS/MS		By MS/MS					2.5	2.5	2.5	4.5	0	4.5	0	2	0	0	0	0	153640000	32950000	30507000	42372000	0	0	25757000	0	22050000	0	0	0	0	0	0	0	0	0	0	0	17117000	0	0	0	0	3	3	3	4	0	8	0	5	0	0	0	0	26				684	2743;3163	True;True	2775;3205	23323;23324;23325;23326;23327;23328;23329;26988;26989;26990;26991	54777;54778;54779;54780;54781;54782;54783;54784;54785;54786;54787;54788;54789;63036;63037;63038;63039;63040;63041;63042;63043;63044;63045;63046;63047;63048	54778;63040	208	66	-1;-1
sp|P35637|FUS_HUMAN;tr|H3BPE7|H3BPE7_HUMAN	sp|P35637|FUS_HUMAN;tr|H3BPE7|H3BPE7_HUMAN	1;1	1;1	1;1	sp|P35637|FUS_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1;tr|H3BPE7|H3BPE7_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1	2	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4.6	4.6	4.6	53.425	526	526;527	0.00064851	1.8058						By MS/MS		By MS/MS					0	0	0	0	0	4.6	0	4.6	0	0	0	0	18550000	0	0	0	0	0	6002600	0	12548000	0	0	0	0	0	0	0	0	0	0	0	9741000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				685	284	True	284	2279;2280	5708;5709	5708			-1;-1
tr|H0Y8X0|H0Y8X0_HUMAN;tr|B4DFG0|B4DFG0_HUMAN;sp|P35659|DEK_HUMAN;tr|H0Y993|H0Y993_HUMAN;tr|D6RDA2|D6RDA2_HUMAN;tr|D6R9L5|D6R9L5_HUMAN;tr|A0A494C198|A0A494C198_HUMAN;tr|A0A494C028|A0A494C028_HUMAN	tr|H0Y8X0|H0Y8X0_HUMAN;tr|B4DFG0|B4DFG0_HUMAN;sp|P35659|DEK_HUMAN;tr|H0Y993|H0Y993_HUMAN;tr|D6RDA2|D6RDA2_HUMAN;tr|D6R9L5|D6R9L5_HUMAN;tr|A0A494C198|A0A494C198_HUMAN;tr|A0A494C028|A0A494C028_HUMAN	2;2;2;2;1;1;1;1	2;2;2;2;1;1;1;1	2;2;2;2;1;1;1;1	tr|H0Y8X0|H0Y8X0_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=2;tr|B4DFG0|B4DFG0_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1;sp|P35659|DEK_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1;tr|H0Y993|H0Y993_HUMAN DEK onco	8	2	2	2	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	14.4	14.4	14.4	32.709	285	285;347;375;380;122;162;303;380	0	9.3319	By MS/MS				By MS/MS			By MS/MS					4.6	0	0	0	9.8	0	0	14.4	0	0	0	0	38028000	0	0	0	0	21316000	0	0	16713000	0	0	0	0	0	0	0	0	0	0	0	12974000	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2				686	2612;3527	True;True	2642;3573	22239;22240;29787;29788	51995;51996;68884;68885	51995;68884			-1;-1;-1;-1;-1;-1;-1;-1
sp|P35754|GLRX1_HUMAN	sp|P35754|GLRX1_HUMAN	2	2	2	sp|P35754|GLRX1_HUMAN Glutaredoxin-1 OS=Homo sapiens OX=9606 GN=GLRX PE=1 SV=2	1	2	2	2	2	2	1	2	1	2	2	2	1	2	1	2	2	2	1	2	1	2	2	2	1	2	1	2	2	2	1	2	1	2	2	2	1	2	1	2	32.1	32.1	32.1	11.776	106	106	0	94.491	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	32.1	32.1	12.3	32.1	12.3	32.1	32.1	32.1	12.3	32.1	19.8	32.1	3425300000	561650000	688560000	131870000	430970000	110100000	274430000	227510000	365320000	43752000	233520000	149450000	208140000	409230000	490940000	0	394640000	0	309060000	275300000	340860000	0	234320000	0	213710000	4	0	0	3	0	0	3	4	0	1	2	2	19				687	548;4551	True;True	553;4609	4686;4687;4688;4689;4690;4691;4692;4693;4694;4695;38427;38428;38429;38430;38431;38432;38433;38434;38435;38436;38437	11043;11044;11045;11046;11047;11048;11049;11050;11051;11052;11053;11054;11055;11056;11057;11058;11059;11060;11061;11062;11063;88180;88181;88182;88183;88184;88185;88186;88187;88188;88189	11050;88182			-1
sp|P35914|HMGCL_HUMAN	sp|P35914|HMGCL_HUMAN	1	1	1	sp|P35914|HMGCL_HUMAN Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Homo sapiens OX=9606 GN=HMGCL PE=1 SV=2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	3.7	3.7	3.7	34.36	325	325	0	32.497	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS			By MS/MS		3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	0	0	3.7	0	215180000	46323000	24646000	38580000	16629000	36613000	0	17886000	34503000	0	0	0	0	0	0	0	0	0	0	0	26785000	0	0	0	0	4	6	5	4	6	7	2	4	0	0	4	0	42				688	3099	True	3140	26285;26286;26287;26288;26289;26290;26291;26292;26293;26294;26295;26296;26297;26298;26299;26300;26301;26302	61443;61444;61445;61446;61447;61448;61449;61450;61451;61452;61453;61454;61455;61456;61457;61458;61459;61460;61461;61462;61463;61464;61465;61466;61467;61468;61469;61470;61471;61472;61473;61474;61475;61476;61477;61478;61479;61480;61481;61482;61483;61484	61483			-1
sp|P35998|PRS7_HUMAN	sp|P35998|PRS7_HUMAN	3	3	3	sp|P35998|PRS7_HUMAN 26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3	1	3	3	3	2	3	3	3	2	2	3	3	1	1	3	2	2	3	3	3	2	2	3	3	1	1	3	2	2	3	3	3	2	2	3	3	1	1	3	2	8.8	8.8	8.8	48.633	433	433	0	12.964	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.5	8.8	8.8	8.8	6.5	5.1	8.8	8.8	2.8	2.8	8.8	5.1	687170000	53455000	115640000	117180000	64509000	45431000	10180000	54877000	105500000	14073000	41856000	33110000	31362000	58453000	93860000	95253000	70859000	42259000	0	53835000	84173000	0	0	47738000	0	9	13	12	7	7	2	9	10	2	1	3	2	77				689	46;1173;1400	True;True;True	46;1183;1414	369;370;371;372;373;374;375;376;9993;9994;9995;9996;9997;9998;9999;10000;10001;10002;10003;10004;10005;11981;11982;11983;11984;11985;11986;11987;11988;11989;11990	934;935;936;937;938;939;940;941;942;943;944;945;946;947;948;949;950;951;952;953;954;955;956;957;958;959;960;961;962;963;964;965;966;967;968;969;970;971;972;973;974;975;976;977;23877;23878;23879;23880;23881;23882;23883;23884;23885;23886;23887;23888;23889;23890;23891;23892;28964;28965;28966;28967;28968;28969;28970;28971;28972;28973;28974;28975;28976;28977;28978;28979;28980;28981;28982;28983;28984	953;23877;28982			-1
sp|P36222|CH3L1_HUMAN;tr|H0Y3U8|H0Y3U8_HUMAN	sp|P36222|CH3L1_HUMAN	6;2	6;2	6;2	sp|P36222|CH3L1_HUMAN Chitinase-3-like protein 1 OS=Homo sapiens OX=9606 GN=CHI3L1 PE=1 SV=2	2	6	6	6	4	3	2	1	5	5	3	3	0	1	0	0	4	3	2	1	5	5	3	3	0	1	0	0	4	3	2	1	5	5	3	3	0	1	0	0	22.2	22.2	22.2	42.625	383	383;152	0	63.726	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By MS/MS			12.8	9.4	6.8	2.9	18	18	12	9.4	0	4.2	0	0	1921800000	321440000	255600000	10861000	11540000	630820000	516020000	60563000	114930000	0	0	0	0	259110000	296640000	0	0	447870000	356450000	192200000	118230000	0	0	0	0	6	9	1	0	15	14	4	7	0	1	0	0	57				690	834;1373;2029;2103;2803;3961	True;True;True;True;True;True	840;1387;2049;2125;2836;4015	7189;7190;7191;7192;7193;11771;11772;11773;17378;17379;17380;17381;17382;17383;17946;17947;17948;23846;23847;23848;23849;23850;23851;23852;33295;33296;33297	17010;17011;17012;17013;17014;17015;17016;17017;17018;17019;17020;17021;17022;17023;28616;28617;28618;28619;28620;41611;41612;41613;41614;41615;41616;41617;41618;41619;41620;41621;41622;41623;42864;42865;42866;42867;42868;42869;55789;55790;55791;55792;55793;55794;55795;55796;55797;55798;55799;55800;55801;55802;55803;55804;55805;55806;55807;55808;77231;77232;77233	17020;28618;41620;42869;55803;77231			-1;-1
sp|P36542|ATPG_HUMAN	sp|P36542|ATPG_HUMAN	2	2	2	sp|P36542|ATPG_HUMAN ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	7.4	7.4	7.4	32.996	298	298	0	25.732	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	4	4	4	4	6440500000	596340000	705880000	568130000	658520000	846720000	127490000	727210000	518240000	272330000	516010000	541270000	362330000	549340000	729150000	510680000	547130000	645350000	0	770110000	461490000	0	0	0	0	5	4	5	5	5	4	4	8	4	4	4	4	56				691	1164;2152	True;True	1174;2175	9931;9932;9933;9934;9935;9936;9937;9938;9939;9940;18326;18327;18328;18329;18330;18331;18332;18333;18334;18335;18336;18337;18338;18339;18340	23732;23733;23734;43608;43609;43610;43611;43612;43613;43614;43615;43616;43617;43618;43619;43620;43621;43622;43623;43624;43625;43626;43627;43628;43629;43630;43631;43632;43633;43634;43635;43636;43637;43638;43639;43640;43641;43642;43643;43644;43645;43646;43647;43648;43649;43650;43651;43652;43653;43654;43655;43656;43657;43658;43659;43660	23734;43609			-1
sp|P36543|VATE1_HUMAN;tr|C9J8H1|C9J8H1_HUMAN	sp|P36543|VATE1_HUMAN;tr|C9J8H1|C9J8H1_HUMAN	2;1	2;1	2;1	sp|P36543|VATE1_HUMAN V-type proton ATPase subunit E 1 OS=Homo sapiens OX=9606 GN=ATP6V1E1 PE=1 SV=1;tr|C9J8H1|C9J8H1_HUMAN V-type proton ATPase subunit E 1 (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V1E1 PE=1 SV=1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	11.9	11.9	11.9	26.145	226	226;203	0	42.274	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	5.8	11.9	11.9	11.9	3641000000	338220000	447260000	296490000	281450000	320370000	399890000	408040000	232860000	104720000	322350000	272040000	217350000	277210000	416960000	300200000	277320000	277410000	369470000	396910000	183660000	0	251310000	315390000	195400000	6	5	6	6	5	7	7	7	4	5	3	6	67				692	320;2345	True;True	321;2371	2613;2614;2615;2616;2617;2618;2619;2620;2621;2622;2623;19861;19862;19863;19864;19865;19866;19867;19868;19869;19870;19871;19872	6505;6506;6507;6508;6509;6510;6511;6512;6513;6514;6515;6516;6517;6518;6519;6520;6521;6522;6523;6524;6525;6526;6527;6528;6529;6530;6531;6532;6533;6534;6535;6536;6537;6538;6539;6540;6541;6542;6543;6544;6545;6546;6547;6548;46868;46869;46870;46871;46872;46873;46874;46875;46876;46877;46878;46879;46880;46881;46882;46883;46884;46885;46886;46887;46888;46889;46890	6526;46879	209	207	-1;-1
tr|H0YA22|H0YA22_HUMAN;sp|P36551|HEM6_HUMAN	tr|H0YA22|H0YA22_HUMAN;sp|P36551|HEM6_HUMAN	1;1	1;1	1;1	tr|H0YA22|H0YA22_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=1 SV=1;sp|P36551|HEM6_HUMAN Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Homo sapiens OX=9606 GN=CPOX PE=1 SV=3	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18.6	18.6	18.6	8.1112	70	70;454	0.00066934	2.044						By MS/MS							0	0	0	0	0	18.6	0	0	0	0	0	0	18576000	0	0	0	0	0	18576000	0	0	0	0	0	0	0	0	0	0	0	17199000	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2				693	1933	True	1951	16552	39767;39768	39767			-1;-1
sp|P36578|RL4_HUMAN;tr|H3BTP7|H3BTP7_HUMAN;tr|H3BU31|H3BU31_HUMAN;tr|H3BM89|H3BM89_HUMAN	sp|P36578|RL4_HUMAN;tr|H3BTP7|H3BTP7_HUMAN;tr|H3BU31|H3BU31_HUMAN;tr|H3BM89|H3BM89_HUMAN	2;1;1;1	2;1;1;1	2;1;1;1	sp|P36578|RL4_HUMAN 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5;tr|H3BTP7|H3BTP7_HUMAN 60S ribosomal protein L4 (Fragment) OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=1;tr|H3BU31|H3BU31_HUMAN 60S ribosomal protein L4 (Fragment) OS=Homo s	4	2	2	2	2	2	2	2	2	2	2	2	1	1	0	0	2	2	2	2	2	2	2	2	1	1	0	0	2	2	2	2	2	2	2	2	1	1	0	0	5.9	5.9	5.9	47.697	427	427;170;171;333	0	21.623	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS			5.9	5.9	5.9	5.9	5.9	5.9	5.9	5.9	2.6	2.6	0	0	2511300000	253600000	296120000	389180000	194250000	547420000	249990000	324630000	252650000	1292700	2213000	0	0	269170000	248120000	331820000	256410000	324450000	304910000	318550000	230050000	0	0	0	0	4	7	2	3	5	5	4	5	0	0	0	0	35				694	1922;3631	True;True	1940;3679	16467;16468;16469;16470;16471;16472;16473;16474;30647;30648;30649;30650;30651;30652;30653;30654;30655;30656	39594;39595;39596;39597;39598;39599;39600;39601;39602;39603;39604;39605;39606;39607;39608;39609;39610;39611;39612;39613;39614;39615;39616;39617;39618;39619;39620;70664;70665;70666;70667;70668;70669;70670;70671;70672;70673;70674;70675;70676	39605;70667	210	95	-1;-1;-1;-1
tr|K7EJE8|K7EJE8_HUMAN;tr|K7EKE6|K7EKE6_HUMAN;sp|P36776|LONM_HUMAN;tr|K7ER27|K7ER27_HUMAN;tr|K7ERR6|K7ERR6_HUMAN	tr|K7EJE8|K7EJE8_HUMAN;tr|K7EKE6|K7EKE6_HUMAN;sp|P36776|LONM_HUMAN	5;5;5;1;1	5;5;5;1;1	5;5;5;1;1	tr|K7EJE8|K7EJE8_HUMAN Lon protease homolog, mitochondrial OS=Homo sapiens OX=9606 GN=LONP1 PE=1 SV=1;tr|K7EKE6|K7EKE6_HUMAN Lon protease homolog, mitochondrial OS=Homo sapiens OX=9606 GN=LONP1 PE=1 SV=1;sp|P36776|LONM_HUMAN Lon protease homolog, mitochond	5	5	5	5	3	2	2	1	2	3	1	2	1	3	0	1	3	2	2	1	2	3	1	2	1	3	0	1	3	2	2	1	2	3	1	2	1	3	0	1	8.2	8.2	8.2	93.296	829	829;845;959;242;264	0	136.55	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By MS/MS	4.3	3.7	3.9	1.6	3.6	5.1	1.6	3.7	2.2	5.1	0	2.2	716190000	79446000	88293000	43521000	36791000	75558000	138900000	27890000	77962000	22186000	104140000	0	21499000	0	132420000	0	0	0	83543000	0	76020000	0	62166000	0	0	4	6	5	1	6	3	0	4	3	4	0	4	40				695	1120;2725;3236;3382;4362	True;True;True;True;True	1130;2757;3281;3427;4418	9511;9512;23198;23199;23200;27576;27577;27578;27579;27580;27581;27582;28675;36766;36767;36768;36769;36770;36771;36772;36773	22331;22332;22333;54557;54558;54559;64183;64184;64185;64186;64187;64188;66503;84957;84958;84959;84960;84961;84962;84963;84964;84965;84966;84967;84968;84969;84970;84971;84972;84973;84974;84975;84976;84977;84978;84979;84980;84981;84982;84983;84984;84985;84986	22333;54558;64185;66503;84967			-1;-1;-1;-1;-1
sp|P36871|PGM1_HUMAN;tr|A0A3B3ITK7|A0A3B3ITK7_HUMAN	sp|P36871|PGM1_HUMAN;tr|A0A3B3ITK7|A0A3B3ITK7_HUMAN	5;5	5;5	5;5	sp|P36871|PGM1_HUMAN Phosphoglucomutase-1 OS=Homo sapiens OX=9606 GN=PGM1 PE=1 SV=3;tr|A0A3B3ITK7|A0A3B3ITK7_HUMAN Phosphoglucomutase-1 OS=Homo sapiens OX=9606 GN=PGM1 PE=1 SV=1	2	5	5	5	3	4	4	4	3	3	3	1	3	3	3	3	3	4	4	4	3	3	3	1	3	3	3	3	3	4	4	4	3	3	3	1	3	3	3	3	9.3	9.3	9.3	61.448	562	562;584	0	39.547	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6	7.7	7.5	7.7	6	5.9	6	2.1	6	6	6	6	1076900000	131800000	23874000	56222000	79409000	92709000	30766000	70222000	20023000	84482000	234610000	152640000	100130000	77883000	0	0	73457000	72533000	0	96850000	0	0	172690000	197660000	0	5	4	6	3	5	3	8	1	3	10	7	4	59				696	670;1253;2264;2709;3288	True;True;True;True;True	676;1263;2289;2741;3333	5790;10690;10691;10692;10693;10694;10695;10696;10697;10698;19172;19173;19174;19175;19176;19177;23047;23048;23049;23050;23051;23052;23053;23054;23055;23056;23057;23058;27944;27945;27946;27947;27948;27949;27950;27951;27952;27953;27954	13684;13685;25883;25884;25885;25886;25887;25888;25889;25890;25891;25892;25893;25894;25895;45370;45371;45372;45373;45374;45375;54196;54197;54198;54199;54200;54201;54202;54203;54204;54205;54206;54207;54208;54209;54210;54211;54212;54213;54214;54215;54216;54217;54218;54219;54220;54221;54222;54223;54224;54225;54226;54227;54228;54229;54230;54231;54232;54233;54234;54235;54236;65190;65191;65192;65193;65194;65195;65196;65197;65198;65199;65200	13685;25890;45370;54196;65200			-1;-1
tr|A2AB27|A2AB27_HUMAN;sp|P36915|GNL1_HUMAN	tr|A2AB27|A2AB27_HUMAN;sp|P36915|GNL1_HUMAN	1;1	1;1	1;1	tr|A2AB27|A2AB27_HUMAN Guanine nucleotide-binding protein-like 1 (Fragment) OS=Homo sapiens OX=9606 GN=GNL1 PE=1 SV=1;sp|P36915|GNL1_HUMAN Guanine nucleotide-binding protein-like 1 OS=Homo sapiens OX=9606 GN=GNL1 PE=1 SV=2	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4.5	4.5	4.5	31.008	264	264;607	0.0036474	1.4321						By MS/MS							0	0	0	0	0	4.5	0	0	0	0	0	0	228080000	0	0	0	0	0	228080000	0	0	0	0	0	0	0	0	0	0	0	211170000	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4				697	2742	True	2774	23322	54773;54774;54775;54776	54775			-1;-1
