Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 002-CTRL1_GST CAA5769A2MA2-40-222306	Peptides 004-CTRL2_GST CAA5769A4MA2-40-222313	Peptides 006-CTRL3_GST CAA5769A6MA2-40-222321	Peptides 008-CS1_GST CAA5769A8MA2-40-222333	Peptides 010-CS2_GST CAA5769A10MA2-40-222342	Peptides 012-CS3_GST CAA5769A12MA2-40-222421	Peptides 014-CTRL1_26S CAA5769A14MA2-40-222435	Peptides 016-CTRL2_26S CAA5769A16MA2-40-222440	Peptides 018-CTRL3_26S CAA5769A18MA2-40-222445	Peptides 020-CS1_26S CAA5769A20MA2-40-222451	Peptides 022-CS2_26S CAA5769A22MA2-40-222460	Peptides 024-CS3_26S CAA5769A24MA2-40-222468	Razor + unique peptides 002-CTRL1_GST CAA5769A2MA2-40-222306	Razor + unique peptides 004-CTRL2_GST CAA5769A4MA2-40-222313	Razor + unique peptides 006-CTRL3_GST CAA5769A6MA2-40-222321	Razor + unique peptides 008-CS1_GST CAA5769A8MA2-40-222333	Razor + unique peptides 010-CS2_GST CAA5769A10MA2-40-222342	Razor + unique peptides 012-CS3_GST CAA5769A12MA2-40-222421	Razor + unique peptides 014-CTRL1_26S CAA5769A14MA2-40-222435	Razor + unique peptides 016-CTRL2_26S CAA5769A16MA2-40-222440	Razor + unique peptides 018-CTRL3_26S CAA5769A18MA2-40-222445	Razor + unique peptides 020-CS1_26S CAA5769A20MA2-40-222451	Razor + unique peptides 022-CS2_26S CAA5769A22MA2-40-222460	Razor + unique peptides 024-CS3_26S CAA5769A24MA2-40-222468	Unique peptides 002-CTRL1_GST CAA5769A2MA2-40-222306	Unique peptides 004-CTRL2_GST CAA5769A4MA2-40-222313	Unique peptides 006-CTRL3_GST CAA5769A6MA2-40-222321	Unique peptides 008-CS1_GST CAA5769A8MA2-40-222333	Unique peptides 010-CS2_GST CAA5769A10MA2-40-222342	Unique peptides 012-CS3_GST CAA5769A12MA2-40-222421	Unique peptides 014-CTRL1_26S CAA5769A14MA2-40-222435	Unique peptides 016-CTRL2_26S CAA5769A16MA2-40-222440	Unique peptides 018-CTRL3_26S CAA5769A18MA2-40-222445	Unique peptides 020-CS1_26S CAA5769A20MA2-40-222451	Unique peptides 022-CS2_26S CAA5769A22MA2-40-222460	Unique peptides 024-CS3_26S CAA5769A24MA2-40-222468	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 002-CTRL1_GST CAA5769A2MA2-40-222306	Identification type 004-CTRL2_GST CAA5769A4MA2-40-222313	Identification type 006-CTRL3_GST CAA5769A6MA2-40-222321	Identification type 008-CS1_GST CAA5769A8MA2-40-222333	Identification type 010-CS2_GST CAA5769A10MA2-40-222342	Identification type 012-CS3_GST CAA5769A12MA2-40-222421	Identification type 014-CTRL1_26S CAA5769A14MA2-40-222435	Identification type 016-CTRL2_26S CAA5769A16MA2-40-222440	Identification type 018-CTRL3_26S CAA5769A18MA2-40-222445	Identification type 020-CS1_26S CAA5769A20MA2-40-222451	Identification type 022-CS2_26S CAA5769A22MA2-40-222460	Identification type 024-CS3_26S CAA5769A24MA2-40-222468	Sequence coverage 002-CTRL1_GST CAA5769A2MA2-40-222306 [%]	Sequence coverage 004-CTRL2_GST CAA5769A4MA2-40-222313 [%]	Sequence coverage 006-CTRL3_GST CAA5769A6MA2-40-222321 [%]	Sequence coverage 008-CS1_GST CAA5769A8MA2-40-222333 [%]	Sequence coverage 010-CS2_GST CAA5769A10MA2-40-222342 [%]	Sequence coverage 012-CS3_GST CAA5769A12MA2-40-222421 [%]	Sequence coverage 014-CTRL1_26S CAA5769A14MA2-40-222435 [%]	Sequence coverage 016-CTRL2_26S CAA5769A16MA2-40-222440 [%]	Sequence coverage 018-CTRL3_26S CAA5769A18MA2-40-222445 [%]	Sequence coverage 020-CS1_26S CAA5769A20MA2-40-222451 [%]	Sequence coverage 022-CS2_26S CAA5769A22MA2-40-222460 [%]	Sequence coverage 024-CS3_26S CAA5769A24MA2-40-222468 [%]	Intensity	Intensity 002-CTRL1_GST CAA5769A2MA2-40-222306	Intensity 004-CTRL2_GST CAA5769A4MA2-40-222313	Intensity 006-CTRL3_GST CAA5769A6MA2-40-222321	Intensity 008-CS1_GST CAA5769A8MA2-40-222333	Intensity 010-CS2_GST CAA5769A10MA2-40-222342	Intensity 012-CS3_GST CAA5769A12MA2-40-222421	Intensity 014-CTRL1_26S CAA5769A14MA2-40-222435	Intensity 016-CTRL2_26S CAA5769A16MA2-40-222440	Intensity 018-CTRL3_26S CAA5769A18MA2-40-222445	Intensity 020-CS1_26S CAA5769A20MA2-40-222451	Intensity 022-CS2_26S CAA5769A22MA2-40-222460	Intensity 024-CS3_26S CAA5769A24MA2-40-222468	LFQ intensity 002-CTRL1_GST CAA5769A2MA2-40-222306	LFQ intensity 004-CTRL2_GST CAA5769A4MA2-40-222313	LFQ intensity 006-CTRL3_GST CAA5769A6MA2-40-222321	LFQ intensity 008-CS1_GST CAA5769A8MA2-40-222333	LFQ intensity 010-CS2_GST CAA5769A10MA2-40-222342	LFQ intensity 012-CS3_GST CAA5769A12MA2-40-222421	LFQ intensity 014-CTRL1_26S CAA5769A14MA2-40-222435	LFQ intensity 016-CTRL2_26S CAA5769A16MA2-40-222440	LFQ intensity 018-CTRL3_26S CAA5769A18MA2-40-222445	LFQ intensity 020-CS1_26S CAA5769A20MA2-40-222451	LFQ intensity 022-CS2_26S CAA5769A22MA2-40-222460	LFQ intensity 024-CS3_26S CAA5769A24MA2-40-222468	MS/MS count 002-CTRL1_GST CAA5769A2MA2-40-222306	MS/MS count 004-CTRL2_GST CAA5769A4MA2-40-222313	MS/MS count 006-CTRL3_GST CAA5769A6MA2-40-222321	MS/MS count 008-CS1_GST CAA5769A8MA2-40-222333	MS/MS count 010-CS2_GST CAA5769A10MA2-40-222342	MS/MS count 012-CS3_GST CAA5769A12MA2-40-222421	MS/MS count 014-CTRL1_26S CAA5769A14MA2-40-222435	MS/MS count 016-CTRL2_26S CAA5769A16MA2-40-222440	MS/MS count 018-CTRL3_26S CAA5769A18MA2-40-222445	MS/MS count 020-CS1_26S CAA5769A20MA2-40-222451	MS/MS count 022-CS2_26S CAA5769A22MA2-40-222460	MS/MS count 024-CS3_26S CAA5769A24MA2-40-222468	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
CON__Q14525	CON__Q14525	15	15	5		1	15	15	5	0	0	3	0	3	0	0	0	0	0	15	0	0	0	3	0	3	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	5	0	48	48	18.3	46.213	404	404	0	323.31			By MS/MS		By MS/MS						By MS/MS		0	0	7.9	0	5.9	0	0	0	0	0	48	0	1155600000	0	0	1152000	0	1598500	0	0	0	0	0	1152900000	0	0	0	5700800	0	4331200	0	0	0	0	0	454350000	0	0	0	0	0	0	0	0	0	0	0	27	0	27			+	23	783;1317;2820;2877;3181;3393;3782;3988;3998;4000;4264;4734;4941;5688;5697	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	825;1375;2922;2980;3290;3507;3928;4140;4150;4152;4419;4895;5111;5882;5891	6492;10774;10775;23888;23889;23890;24375;26920;28608;28609;28610;31981;33641;33706;33707;33722;35801;39532;39533;41373;41374;41375;47753;47839;47840	3811;6069;6070;6071;13582;14108;14109;15398;15399;16239;18009;18010;18926;18968;18969;18977;20098;22168;23282;23283;23284;23285;26844;26845;26893;26894;26895	3811;6070;13582;14109;15398;16239;18010;18926;18969;18977;20098;22168;23283;26844;26894			-1
CON__Q14533	CON__Q14533	15	1	0		1	15	1	0	1	0	3	1	1	1	1	2	2	0	15	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	31.5	2.8	0	54.971	505	505	0	9.6322	By matching		By matching	By matching	By matching	By matching	By matching	By matching	By matching		By MS/MS	By matching	2	0	5.7	2	1.4	1.4	2	3.4	3.4	0	31.5	3.4	58413000	0	0	0	0	0	0	0	0	0	0	58413000	0	0	0	0	0	0	0	0	0	0	0	22553000	0	0	0	0	0	0	0	0	0	0	0	2	0	2			+	24	162;1456;1758;2335;2710;2758;2781;2812;2867;2977;3241;4141;4262;4750;5537	False;False;False;True;False;False;False;False;False;False;False;False;False;False;False	172;1515;1824;2420;2809;2857;2881;2914;2970;3080;3354;4294;4417;4911;5726	1321;11889;11890;11891;11892;11893;14502;19644;19645;22949;23306;23307;23504;23505;23506;23507;23508;23509;23510;23813;23814;24301;25223;27378;27379;34890;35799;39659;39660;39661;39662;46365	719;6778;6779;6780;6781;6782;8267;11196;11197;13077;13226;13342;13530;13531;14079;14080;14569;14570;14571;15652;19626;20096;22269;22270;26019	719;6782;8267;11197;13077;13226;13342;13531;14079;14569;15652;19626;20096;22269;26019			-1
CON__Q9UE12;CON__Q15323;sp|Q497I4|KRT35_MOUSE;CON__Q497I4;CON__Q14532	CON__Q9UE12;CON__Q15323	13;13;4;4;2	4;4;0;0;1	2;2;0;0;0	;	5	13	4	2	0	0	5	2	4	0	0	0	0	0	13	0	0	0	1	2	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	38.2	13	6.2	47.237	416	416;416;455;455;448	0	323.31			By matching	By matching	By matching						By MS/MS		0	0	13.9	6.7	9.4	0	0	0	0	0	38.2	0	275610000	0	0	150250	568350	235690	0	0	0	0	0	274660000	0	0	0	0	1699000	0	0	0	0	0	0	105350000	0	0	0	0	0	0	0	0	0	0	0	6	0	6			+	25	783;844;1318;2820;2877;3183;3393;4000;4466;4518;4734;4941;5697	False;True;True;False;False;True;False;False;True;False;False;False;False	825;886;1376;2922;2980;3292;3507;4152;4622;4674;4895;5111;5891	6492;6943;6944;10776;23888;23889;23890;24375;26922;26923;26924;26925;28608;28609;28610;33722;37363;37364;37796;37797;39532;39533;41373;41374;41375;47839;47840	3811;4043;6072;6073;13582;14108;14109;15401;16239;18977;20929;20930;21181;21182;21183;22168;23282;23283;23284;23285;26893;26894;26895	3811;4043;6073;13582;14109;15401;16239;18977;20929;21182;22168;23283;26894			-1;-1;-1;-1;-1
CON__Q32MB2;CON__Q7RTS7;CON__Q14CN4-1;sp|Q6IME9|K2C72_MOUSE;CON__Q6IME9;CON__Q3SY84	CON__Q32MB2;CON__Q7RTS7	4;3;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	;	6	4	1	1	3	4	3	3	3	3	2	4	3	3	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.1	2.2	2.2	58.923	540	540;529;511;520;520;523	0	58.146	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.9	6.1	6.1	5.9	6.1	3.9	3.7	6.1	5.9	3.9	2.2	3.9	302490000	24425000	45930000	36197000	23212000	33745000	25615000	8264300	13615000	5310100	63421000	15355000	7397700	0	0	0	0	0	0	0	0	0	0	0	790190	5	5	4	6	5	4	4	3	2	5	4	2	49			+	26	1457;2644;3087;3711	True;False;False;False	1516;2741;3193;3851	11894;11895;11896;11897;11898;11899;11900;11901;11902;11903;11904;11905;11906;11907;11908;11909;11910;11911;11912;11913;11914;11915;11916;11917;11918;11919;11920;11921;11922;11923;11924;11925;11926;11927;11928;11929;11930;11931;11932;11933;22401;22402;22403;22404;22405;22406;22407;22408;26135;26136;26137;26138;26139;26140;26141;26142;26143;31297;31298;31299;31300;31301;31302	6783;6784;6785;6786;6787;6788;6789;6790;6791;6792;6793;6794;6795;6796;6797;6798;6799;6800;6801;6802;6803;6804;6805;6806;6807;6808;6809;6810;6811;6812;6813;6814;6815;6816;6817;6818;6819;6820;6821;6822;6823;6824;6825;6826;6827;6828;6829;6830;6831;6832;6833;12846;12847;15065;15066;15067;15068;17656;17657	6793;12846;15067;17657			-1;-1;-1;-1;-1;-1
CON__Q3SZ57	CON__Q3SZ57	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1.6	1.6	1.6	68.587	610	610	0.0024242	6.4027	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS		By MS/MS	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	0	1.6	447320000	42734000	29985000	18762000	40487000	26191000	35607000	40190000	54363000	39154000	40109000	0	79741000	0	0	0	0	0	0	0	0	0	0	0	15373000	0	0	1	0	0	1	0	0	0	0	0	0	2			+	27	5598	True	5789	46902;46903;46904;46905;46906;46907;46908;46909;46910;46911;46912	26304;26305	26304			-1
CON__Q5D862	CON__Q5D862	5	5	5		1	5	5	5	4	5	5	4	4	5	0	0	3	2	1	0	4	5	5	4	4	5	0	0	3	2	1	0	4	5	5	4	4	5	0	0	3	2	1	0	4.2	4.2	4.2	248.07	2391	2391	0	32.298	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS			By matching	By matching	By matching		3.8	4.2	4.2	3.8	3.7	4.2	0	0	3.4	2.9	0.8	0	18146000	2430000	5017200	3814500	1391900	2416700	1729700	0	0	606270	585340	153880	0	4036600	33637000	20357000	4872100	18110000	8178900	0	0	516760	674580	0	0	6	5	2	3	5	4	0	0	0	0	0	0	25			+	28	1529;1995;2078;4348;4593	True;True;True;True;True	1589;2070;2155;4503;4753	12527;12528;12529;12530;12531;12532;16501;16502;16503;16504;16505;17226;17227;17228;17229;17230;17231;17232;17233;17234;17235;36345;36346;36347;36348;36349;36350;36351;36352;38363;38364;38365;38366;38367	7145;7146;7147;7148;7149;9437;9438;9885;9886;9887;9888;9889;9890;9891;9892;9893;9894;20412;20413;20414;20415;20416;20417;20418;21516	7146;9437;9886;20415;21516			-1
CON__Q9NSB2;CON__Q6ISB0	CON__Q9NSB2;CON__Q6ISB0	5;5	2;2	2;2	;	2	5	2	2	1	1	1	1	1	1	1	2	2	1	5	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	9.2	4.8	4.8	64.895	600	600;600	0	43.596	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	1.3	1.3	1.3	1.3	1.3	1.2	1.3	2.5	2.5	1.3	9.2	2.5	2101600	0	0	0	0	0	0	0	0	0	0	2101600	0	0	0	0	0	0	0	0	0	0	0	811420	0	0	0	0	0	0	0	0	0	0	0	2	0	2			+	29	1456;2866;2977;3049;3089	False;True;False;True;False	1515;2969;3080;3153;3195	11889;11890;11891;11892;11893;24300;25223;25845;26157;26158;26159;26160;26161;26162;26163;26164;26165;26166;26167	6778;6779;6780;6781;6782;14078;14569;14570;14571;14907;15071;15072	6782;14078;14569;14907;15072			-1;-1
CON__Q6NT21;CON__P78385	CON__Q6NT21;CON__P78385	14;13	2;2	0;0	;	2	14	2	0	1	0	2	1	2	1	1	2	2	0	14	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	30	1.8	0	54.195	493	493;493	0	12.836	By matching		By matching	By matching	By matching	By matching	By matching	By matching	By matching		By MS/MS	By matching	2	0	4.1	2	3.2	1.4	2	3.4	3.4	0	30	3.4	49425000	0	0	0	0	105810	0	0	0	0	0	49320000	0	0	0	0	0	0	0	0	0	0	0	19042000	0	0	0	0	0	0	0	0	0	0	0	2	0	2			+	30	1456;1758;2335;2710;2757;2781;2812;2867;2977;3241;4141;4262;4750;5536	False;False;False;False;True;False;False;False;False;False;False;False;False;True	1515;1824;2420;2809;2856;2881;2914;2970;3080;3354;4294;4417;4911;5725	11889;11890;11891;11892;11893;14502;19644;19645;22949;23304;23305;23504;23505;23506;23507;23508;23509;23510;23813;23814;24301;25223;27378;27379;34890;35799;39659;39660;39661;39662;46364	6778;6779;6780;6781;6782;8267;11196;11197;13077;13225;13342;13530;13531;14079;14080;14569;14570;14571;15652;19626;20096;22269;22270;26018	6782;8267;11197;13077;13225;13342;13531;14079;14569;15652;19626;20096;22269;26018			-1;-1
sp|Q6NXH9|K2C73_MOUSE;CON__Q6NXH9	sp|Q6NXH9|K2C73_MOUSE;CON__Q6NXH9	4;4	1;1	0;0	sp|Q6NXH9|K2C73_MOUSE Keratin, type II cytoskeletal 73 OS=Mus musculus OX=10090 GN=Krt73 PE=1 SV=1;	2	4	1	0	3	4	3	3	3	3	2	4	3	3	1	3	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	2.2	0	58.911	539	539;539	0	7.515	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	3.9	6.1	6.1	5.9	6.1	3.9	3.7	6.1	5.9	3.9	2.2	3.9	4861500	0	993680	1301500	443030	740200	0	0	662250	720840	0	0	0	0	0	0	0	0	0	0	0	219430	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2			+	31	1458;2644;3087;3711	False;False;False;True	1517;2741;3193;3851	11934;11935;11936;11937;11938;11939;11940;11941;11942;11943;11944;11945;11946;11947;11948;11949;11950;11951;22401;22402;22403;22404;22405;22406;22407;22408;26135;26136;26137;26138;26139;26140;26141;26142;26143;31297;31298;31299;31300;31301;31302	6834;6835;6836;6837;6838;6839;6840;6841;6842;6843;6844;6845;6846;6847;6848;6849;6850;6851;6852;6853;6854;6855;6856;12846;12847;15065;15066;15067;15068;17656;17657	6849;12846;15067;17657			-1;-1
CON__Q86YZ3	CON__Q86YZ3	8	8	8		1	8	8	8	4	8	7	7	7	7	5	5	5	5	4	4	4	8	7	7	7	7	5	5	5	5	4	4	4	8	7	7	7	7	5	5	5	5	4	4	11.7	11.7	11.7	282.39	2850	2850	0	71.092	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.9	11.7	11.2	11.2	11.2	11.2	8.7	8.7	8.7	8.7	8	8	145330000	6680500	23580000	12551000	15699000	17451000	8156300	5580200	8661500	8634200	17516000	6900600	13917000	7135200	120550000	133330000	25664000	82720000	34085000	1180600	2961700	2737000	4270300	2897000	3088500	2	7	3	8	9	5	3	2	2	4	3	3	51			+	32	1647;1801;1802;1989;1990;1991;1992;4018	True;True;True;True;True;True;True;True	1710;1867;1868;2064;2065;2066;2067;4170	13500;13501;13502;13503;13504;13505;13506;13507;13508;13509;13510;14839;14840;14841;14842;14843;14844;14845;14846;14847;14848;14849;14850;14851;14852;14853;14854;14855;14856;14857;14858;14859;14860;14861;14862;14863;14864;14865;14866;14867;14868;14869;14870;14871;14872;16441;16442;16443;16444;16445;16446;16447;16448;16449;16450;16451;16452;16453;16454;16455;16456;16457;16458;16459;16460;16461;16462;16463;16464;16465;16466;16467;16468;16469;16470;16471;16472;16473;33854;33855;33856;33857;33858;33859;33860;33861;33862;33863;33864;33865	7716;7717;7718;8452;8453;8454;8455;8456;8457;8458;8459;8460;8461;8462;8463;8464;8465;8466;8467;8468;8469;8470;8471;8472;8473;8474;8475;9407;9408;9409;9410;9411;9412;9413;9414;9415;9416;9417;9418;9419;9420;9421;9422;9423;9424;9425;19038;19039;19040;19041;19042	7717;8454;8475;9408;9418;9420;9425;19038			-1
CON__Q8IUT8;CON__O76011;CON__Q92764;tr|E9PV64|E9PV64_MOUSE;sp|Q6IFX3|K1C40_MOUSE;CON__O76014	CON__Q8IUT8;CON__O76011	14;13;2;1;1;1	8;7;0;0;0;0	4;4;0;0;0;0	;	6	14	8	4	0	0	4	0	2	0	0	0	0	0	14	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	4	0	40.1	24.8	18.1	49.411	436	436;394;425;359;439;471	0	121.76			By matching		By matching						By MS/MS		0	0	10.3	0	3.4	0	0	0	0	0	40.1	0	369310000	0	0	272460	0	0	0	0	0	0	0	369040000	0	0	0	3229400	0	0	0	0	0	0	0	142140000	0	0	0	0	0	0	0	0	0	0	0	12	0	12			+	33	843;1317;2671;2810;2820;2877;3140;3184;3672;4000;4267;4518;4734;4941	True;False;True;True;False;False;True;True;True;False;True;True;False;False	885;1375;2769;2912;2922;2980;3246;3293;3812;4152;4422;4674;4895;5111	6942;10774;10775;22663;22664;23805;23888;23889;23890;24375;26547;26548;26926;30971;33722;35821;37796;37797;39532;39533;41373;41374;41375	4041;4042;6069;6070;6071;12954;12955;13521;13582;14108;14109;15218;15402;17504;18977;20113;21181;21182;21183;22168;23282;23283;23284;23285	4041;6070;12954;13521;13582;14109;15218;15402;17504;18977;20113;21182;22168;23283			-1;-1;-1;-1;-1;-1
REV__sp|O54724|CAVN1_MOUSE	REV__sp|O54724|CAVN1_MOUSE	1	1	1	sp|O54724|CAVN1_MOUSE Caveolae-associated protein 1 OS=Mus musculus OX=10090 GN=Cavin1 PE=1 SV=1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	43.953	392	392	0.0093023	6.125	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	777680000	58625000	18295000	11509000	21976000	17613000	25109000	107060000	120720000	92363000	100840000	92545000	111030000	0	0	0	0	0	0	0	0	0	0	0	21406000	1	0	0	0	0	0	0	0	0	0	0	0	1		+		34	4373	True	4529	36569;36570;36571;36572;36573;36574;36575;36576;36577;36578;36579;36580;36581	20544	20544			-1
REV__tr|A0A1D5RLV3|A0A1D5RLV3_MOUSE;REV__sp|Q8BLN6|UNC80_MOUSE;REV__tr|B8XCJ6|B8XCJ6_MOUSE	REV__tr|A0A1D5RLV3|A0A1D5RLV3_MOUSE;REV__sp|Q8BLN6|UNC80_MOUSE;REV__tr|B8XCJ6|B8XCJ6_MOUSE	1;1;1	1;1;1	1;1;1	tr|A0A1D5RLV3|A0A1D5RLV3_MOUSE Protein unc-80 homolog OS=Mus musculus OX=10090 GN=Unc80 PE=1 SV=1;sp|Q8BLN6|UNC80_MOUSE Protein unc-80 homolog OS=Mus musculus OX=10090 GN=Unc80 PE=1 SV=2;tr|B8XCJ6|B8XCJ6_MOUSE Protein unc-80 homolog OS=Mus musculus OX=1009	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363.1	3258	3258;3261;3326	0.008245	6.2076	By MS/MS												0	0	0	0	0	0	0	0	0	0	0	0	5046400	5046400	0	0	0	0	0	0	0	0	0	0	0	2523200	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1		+		35	3870	True	4021	32702;32703	18422	18422			-1;-1;-1
REV__tr|H3BJK5|H3BJK5_MOUSE;REV__sp|Q921L5|COG2_MOUSE	REV__tr|H3BJK5|H3BJK5_MOUSE;REV__sp|Q921L5|COG2_MOUSE	1;1	1;1	1;1	tr|H3BJK5|H3BJK5_MOUSE Conserved oligomeric Golgi complex subunit 2 OS=Mus musculus OX=10090 GN=Cog2 PE=1 SV=1;sp|Q921L5|COG2_MOUSE Conserved oligomeric Golgi complex subunit 2 OS=Mus musculus OX=10090 GN=Cog2 PE=1 SV=2	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	11.876	101	101;731	0.002448	6.5067	By MS/MS	By MS/MS		By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	151340000	4718600	1080800	0	790320	795900	1081500	36763000	23572000	38994000	14565000	13957000	15018000	0	0	0	0	0	0	0	0	0	0	0	2895300	0	0	0	0	0	0	0	0	1	0	0	0	1		+		36	1172	True	1227	9720;9721;9722;9723;9724;9725;9726;9727;9728;9729;9730;9731	5498	5498			-1;-1
REV__sp|Q9D5Y1|CCD39_MOUSE	REV__sp|Q9D5Y1|CCD39_MOUSE	1	1	1	sp|Q9D5Y1|CCD39_MOUSE Coiled-coil domain-containing protein 39 OS=Mus musculus OX=10090 GN=Ccdc39 PE=1 SV=1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	110.07	937	937	0.004779	6.3042										By MS/MS			0	0	0	0	0	0	0	0	0	0	0	0	1148000	0	0	0	0	0	0	0	0	0	1148000	0	0	0	0	0	0	0	0	0	0	0	258850	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1		+		37	2696	True	2794	22863	13043	13043			-1
REV__sp|Q9R1X5|MRP5_MOUSE	REV__sp|Q9R1X5|MRP5_MOUSE	1	1	1	sp|Q9R1X5|MRP5_MOUSE Multidrug resistance-associated protein 5 OS=Mus musculus OX=10090 GN=Abcc5 PE=1 SV=2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	161.12	1436	1436	0.0059595	6.2846	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	11675000000	1079900000	1134500000	822610000	654990000	547080000	1102300000	1265400000	1187400000	1032900000	1387700000	911270000	548860000	0	0	0	0	0	0	0	0	0	0	0	105810000	1	1	1	1	0	2	1	1	1	1	1	0	11		+		38	4403	True	4559	36823;36824;36825;36826;36827;36828;36829;36830;36831;36832;36833;36834;36835;36836;36837;36838;36839;36840;36841;36842;36843;36844	20667;20668;20669;20670;20671;20672;20673;20674;20675;20676;20677	20677			-1
REV__tr|A0A571BD48|A0A571BD48_MOUSE;REV__tr|L7N1Y0|L7N1Y0_MOUSE	REV__tr|A0A571BD48|A0A571BD48_MOUSE;REV__tr|L7N1Y0|L7N1Y0_MOUSE	1;1	1;1	1;1	tr|A0A571BD48|A0A571BD48_MOUSE Dynein, axonemal, heavy chain 7B OS=Mus musculus OX=10090 GN=Dnah7b PE=1 SV=1;tr|L7N1Y0|L7N1Y0_MOUSE Dynein, axonemal, heavy chain 7B OS=Mus musculus OX=10090 GN=Dnah7b PE=1 SV=1	2	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	461.91	4024	4024;4068	0.0070671	6.2161					By MS/MS								0	0	0	0	0	0	0	0	0	0	0	0	8814100	0	0	0	0	8814100	0	0	0	0	0	0	0	0	0	0	0	19437000	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1		+		39	3472	True	3593	29255;29256	16595	16595	12	2987	-1;-1
